"","X","subject","item","list","subexpt","integrated","related","n2num","text","animacy","maincode","dysfluency","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","errcord","AssPercent.HL.S","AssPercent.HL.P","LNSing.HS","LNSing.HP","LNPlur.HS","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","Plausibility","errnd","errd","errcornd","all.asso","local.asso","res.int","res.rel","res.asshl","res.rel2"
"1632",1632,96,21,8,"SemRel","integ","rel","plur","The guitar with the faulty strings","I",0,"",6,4,7,7,5,3,5,6,2,1,2,1,15.53,5044.84,1.63,8.1,1.22,3.7,0.42,0.96,6.83,6.58,6.83,6,0,0,0,0,0,0,20,0,3,20,0,2,20,5,0,20,0,0,20,4,0,20,4,0,5.92,0,0,5,11.6666666666667,13.75,1.52339790537459,-0.781962998611336,0.433214271418276,0.567711166620038
"1633",1633,136,21,8,"SemRel","integ","rel","plur","The guitar with the faulty strings","I",0,"",6,4,7,7,5,3,5,6,2,1,2,1,15.53,5044.84,1.63,8.1,1.22,3.7,0.42,0.96,6.83,6.58,6.83,6,0,0,0,0,0,0,20,0,3,20,0,2,20,5,0,20,0,0,20,4,0,20,4,0,5.92,0,0,5,11.6666666666667,13.75,1.52339790537459,-0.781962998611336,0.433214271418276,0.567711166620038
"1634",1634,16,21,8,"SemRel","integ","rel","plur","The guitar with the faulty strings","I",0,"",6,4,7,7,5,3,5,6,2,1,2,1,15.53,5044.84,1.63,8.1,1.22,3.7,0.42,0.96,6.83,6.58,6.83,6,0,0,0,0,0,0,20,0,3,20,0,2,20,5,0,20,0,0,20,4,0,20,4,0,5.92,0,0,5,11.6666666666667,13.75,1.52339790537459,-0.781962998611336,0.433214271418276,0.567711166620038
"1635",1635,56,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1636",1636,152,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1637",1637,216,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1638",1638,136,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1639",1639,48,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1640",1640,160,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
"1641",1641,24,3,8,"SemRel","unint","unrel","plur","The hammer by the rigid pegs","I",0,"D",6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,15,0,0,2.5,0,0,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,4.83,1,1,13,0.833333333333333,1.25,0.0285767461895752,0.132680476817145,-0.313137073992674,0.841348014436063
