"","X","item","list","subexpt","integrated","related","n2num","text","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Plausibility","errnd","errd","errcornd","errcord","AssPercent.HL.S","AssPercent.HL.P","LNSing.HS","LNSing.HP","LNPlur.HS","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","all.asso","local.asso","res.int","res.rel","res.asshl","res.rel2"
"155",155,128,5,"Prop","unint","rel","plur","The jar near the sticky lids","I",3,4,6,4,4,3,5,4,1,1,2,1,8.25,59.14,5.73,0.61,0.97,1.78,0.83,0.21,5.88,5.68,4.63,5.44,0,0,16,16,11.25,0,12.5,0,6.25,3.75,40,1,0,40,8,0,40,7,0,40,3,0,40,4,2,40,1,1,10.4166666666667,15,-0.130933581040131,0.680347909966778,-0.223423917461678,1.89930850111128
"156",156,128,3,"Prop","unint","unrel","plur","The jar near the stale bagels","I",3,4,5,6,4,3,4,6,1,1,1,2,8.25,59.14,2.92,1.88,0.97,1.78,0.59,0.46,2.5,1.92,2.42,6.25,0,0,12,14,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.399502448494624,-0.288006565198324,0.00784234735090608,-1.48069149888872
"157",157,129,2,"Prop","unint","assoc","plur","The sink near the broken dishes","I",4,4,6,6,4,3,6,5,1,1,2,2,8.59,59.14,27.1,11.8,0.98,1.78,1.45,1.11,5,5.33,4,5.13,0,0,16,18,0,10,0,0,0,0,40,0,3,40,0,5,20,0,0,20,0,0,20,0,0,20,0,0,5,6.25,-0.255472221087454,0.409564206559829,0.538444878100375,-1.07718024874799
"158",158,129,6,"Prop","unint","rel","plur","The sink near the broken faucets","I",4,4,6,7,4,3,6,6,1,1,2,2,8.59,59.14,27.1,0.24,0.98,1.78,1.45,0.09,6.17,6.58,4.74,4.38,1,1,15,15,0,0,8.75,0,16.25,0,40,0,0,40,0,0,40,4,0,40,3,0,40,6,0,40,7,0,5.41666666666667,8.125,-0.187506074660897,0.796975683043735,-0.152746199149691,1.90519485889759
"159",159,129,4,"Prop","unint","unrel","plur","The sink near the broken tiles","I",4,4,6,5,4,3,6,5,1,1,2,1,8.59,59.14,27.1,1.65,0.98,1.78,1.45,0.42,4.83,3.83,3.25,4.75,0,0,17,18,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.907826276551142,1.03272825066398,-0.0941171021282477,0.565194858897591
"160",160,130,2,"Prop","unint","assoc","plur","The window near the shaggy curtains","I",6,5,6,8,5,4,4,7,2,1,2,2,85.84,59.14,0.71,6.25,1.94,1.78,0.23,0.86,5.75,4.92,4.83,5.38,0,0,14,17,1.25,1.25,2.5,2.5,15,5,40,0,1,40,1,0,20,1,0,20,0,1,20,5,1,20,1,1,6.25,11.25,0.143736847134695,0.320783794607883,-0.0127752348495462,0.981111092222348
"161",161,130,6,"Prop","unint","rel","plur","The window near the shattered panes","I",6,5,9,5,5,4,6,4,2,1,2,1,85.84,59.14,1.39,0.06,1.94,1.78,0.38,0.02,5.79,6.25,4.96,4.63,0,0,12,13,8.75,0,42.5,0,38.75,6.25,40,2,0,40,5,0,40,29,0,40,5,0,40,29,2,40,2,3,30,43.75,0.25076133077321,0.219907504765554,-0.235736723549331,1.68252455306887
"162",162,130,4,"Prop","unint","unrel","plur","The window near the stylish paintings","I",6,5,7,9,5,4,7,7,2,1,2,2,85.84,59.14,2.14,11.27,1.94,1.78,0.5,1.09,3.25,2.42,2.75,5.13,0,0,18,19,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.500293380272473,0.0748044320851462,-0.0476821911129788,-0.857475446931131
"163",163,131,2,"Prop","unint","assoc","plur","The rifle beside the expensive targets","I",5,6,9,7,6,6,9,7,2,2,3,2,14.45,14.96,27.92,6.65,1.19,1.2,1.46,0.88,4.75,4.92,4.75,5.56,1,1,11,13,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.638124756171829,-0.561865830892944,-0.0335109420977488,0.554864119099475
"164",164,131,6,"Prop","unint","rel","plur","The rifle beside the expensive triggers","I",5,6,9,8,6,6,9,7,2,2,3,2,14.45,14.96,27.92,0.61,1.19,1.2,1.46,0.21,5.67,5.71,4.25,4.13,0,0,5,7,0,0,0,0,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,0,0,-0.390312120142333,0.909710179891619,-0.0504075421592599,1.47486411909947
"165",165,131,4,"Prop","unint","unrel","plur","The rifle beside the expensive trophies","I",5,6,9,8,6,6,9,6,2,2,3,2,14.45,14.96,27.92,2.29,1.19,1.2,1.46,0.52,3.17,2.42,3.25,5.63,0,0,11,13,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.0456576524504975,-0.487137798539254,-0.00449286807906674,-1.02513588090053
"166",166,132,2,"Prop","unint","assoc","plur","The banana near the melted sundaes","I",6,5,6,7,6,4,6,6,3,1,2,2,10.61,59.14,0.8,0.53,1.06,1.78,0.26,0.18,4,4.75,3.5,4.8,2,2,14,15,0,0,5,0,2.5,2.5,40,0,0,40,0,0,20,0,0,20,2,0,20,1,0,20,0,1,1.875,3.75,-0.181084312050324,0.232343146864629,-0.0998465564019452,0.0338898506444609
"167",167,132,6,"Prop","unint","rel","plur","The banana near the messy peels","I",6,5,5,5,6,4,4,4,3,1,2,1,10.61,59.14,6.86,0.35,1.06,1.78,0.9,0.13,6.29,5.96,4.8,5.69,2,2,19,19,10,0,16.25,0,23.75,1.25,40,4,0,40,4,0,40,12,0,40,1,0,40,14,1,40,5,0,15,20,-0.196432623745358,1.01214178213468,-0.264254709917624,2.32388985064446
"168",168,132,4,"Prop","unint","unrel","plur","The banana near the healthy drinks","I",6,5,8,6,6,4,5,6,3,1,2,1,10.61,59.14,24.71,29.37,1.06,1.78,1.41,1.48,2.75,2.83,4,5.94,0,0,17,17,0,0,0,0,0,0,40,0,0,40,0,0,39,0,0,39,0,0,39,0,0,39,0,0,0,0,1.03690057424609,-1.59850353187766,-0.0101041145265748,-1.21611014935554
"169",169,133,3,"Prop","unint","assoc","plur","The car by the wide roads","I",3,2,4,5,3,3,4,4,1,1,1,1,482.41,1212.84,15.1,9.06,2.68,3.08,1.21,1,5.67,5.67,4,5.06,0,0,13,14,5,0,2.5,7.5,5,5,40,0,0,40,4,0,20,1,2,20,0,1,20,0,1,20,2,1,5.625,11.25,-0.640312120142332,1.06123557628417,-0.103671753259491,1.33440621717367
"170",170,133,1,"Prop","unint","rel","plur","The car by the white bumpers","I",3,2,5,7,3,3,4,7,1,1,1,2,482.41,1212.84,140.88,0.31,2.68,3.08,2.15,0.12,6.24,6.14,4.08,3.94,1,1,15,17,0,0,25,13.75,17.5,17.5,40,0,0,40,0,0,40,14,8,40,6,3,40,11,13,40,3,1,22.9166666666667,34.375,-0.887713228293499,1.5472625857266,-0.123719591474024,1.90440621717367
"171",171,133,5,"Prop","unint","unrel","plur","The car by the wide ramps","I",3,2,4,5,3,3,4,5,1,1,1,1,482.41,1212.84,15.1,0.41,2.68,3.08,1.21,0.15,5.25,4.33,3.42,5.44,0,0,10,10,0,0,0,0,0,2.5,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,1,0,0,-0.979069198346736,1.25003975782653,-0.0888996619435196,0.914406217173665
"172",172,134,3,"Prop","unint","assoc","plur","The dresser by the heavy mirrors","I",7,2,5,7,6,3,4,6,2,1,2,2,3.51,1212.84,47.04,4.61,0.65,3.08,1.68,0.75,4.67,3.67,4.25,5.94,1,1,12,13,2.5,0,0,0,0,0,40,0,0,40,2,0,20,0,0,20,0,0,20,0,0,20,0,0,1.25,2.5,0.1840757888948,-0.132523987384224,-0.202351515333521,0.660958486629951
"173",173,134,1,"Prop","unint","rel","plur","The dresser by the heavy drawers","I",7,2,5,7,6,3,4,5,2,1,2,1,3.51,1212.84,47.04,4.27,0.65,3.08,1.68,0.72,6.54,6.29,5.08,4.63,2,2,14,14,6.25,5,11.25,0,18.75,0,40,2,0,40,3,4,40,8,0,40,1,0,40,9,0,40,6,0,11.25,15.625,-0.0600296010046373,0.838768858557787,0.0664989474820627,1.12891286823458
"174",174,134,5,"Prop","unint","unrel","plur","The dresser by the heavy rugs","I",7,2,5,4,6,3,4,4,2,1,2,1,3.51,1212.84,47.04,1.24,0.65,3.08,1.68,0.35,3.75,4.17,2.83,5,0,0,16,18,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.707487334791039,0.485023191847517,-0.113229817895198,-0.259041513370049
"175",175,135,3,"Prop","unint","assoc","plur","The atlas by the detailed globes","I",5,2,8,6,5,3,6,5,2,1,2,1,0.96,1212.84,3.27,0.35,0.29,3.08,0.63,0.13,5.67,5.75,5.08,5.56,2,2,8,10,11.25,0,0,0,0,0,40,6,0,40,3,0,20,0,0,20,0,0,20,0,0,20,0,0,5.625,3.75,0.439687879857668,-0.056253515414399,-0.420716906526987,1.51839364763566
"176",176,135,1,"Prop","unint","rel","plur","The atlas by the detailed maps","I",5,2,8,4,5,3,6,4,2,1,2,1,0.96,1212.84,3.27,4.86,0.29,3.08,0.63,0.77,6.51,6.83,4.83,5.88,0,1,8,9,32.5,5,5,0,5,0,40,18,2,40,8,2,40,4,0,40,0,0,40,2,0,40,2,0,15,10,-0.292797963733523,1.04940922028263,-0.0842889844050496,1.02753990159745
