"","X.1","subject","item","list","subexpt","integrated","related","n2num","text","animacy","maincode","dysfluency","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","errcord","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","errnd","errd","errcornd","res.int","res.rel","res.asshl","res.rel2","assHL","assHL.asin.ns","assHL.asin","assHL.log.ns","assHL.log","assLS","assLS.asin.ns","assLS.asin","assLS.log.ns","assLS.log","assLP","assLP.asin.ns","assLP.asin","assLP.log.ns","assLP.log","all.asso.asin.ns","all.asso.asin","all.asso.log.ns","all.asso.log","local.asso.asin.ns","local.asso.asin","local.asso.log.ns","local.asso.log","lf.head","lf.prep","lf.adj","lf.noun","rel","int","plaus","lf.head.ns","lf.prep.ns","lf.adj.ns","lf.noun.ns","rel.ns","int.ns","plaus.ns","corr","tot","elog","rates","v","asin"
"11",11,"1125",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
"12",12,"1107",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
"13",13,"1095",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
"14",14,"1047",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
"15",15,"1113",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
"16",16,"1023",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
"17",17,"1053",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",1,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
"18",18,"1041",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
"19",19,"1011",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
"20",20,"1131",135,5,"Prop","unint","unrel","plur","The atlas by the detailed journals","I",0,"",0.96,1212.84,0.67,6.49,12,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1,1,12,0.00846369793193213,-0.377265025809163,-0.150307197293503,-0.481606352364336,12,0.707483211779343,-0.959172483695282,1.08098704691089,-1.0364576852018,12,0.707483211779343,-1.00481276316726,1.08098704691089,-1.06605095699613,12,0.707483211779343,-1.02057677575614,1.08098704691089,-1.07013572704847,0,-0.680882125012808,-1.30102999566398,-0.791324457054876,0,-0.666009890976661,-1.30102999566398,-0.780748734753094,-1.44310174632971,0.654283396023601,-1.08126965259754,0.638433282813835,-0.302449947930176,-0.241851773622307,0.738070681745077,0.29,3.08,0.22,0.87,3.67,3.5,5.75,11,12,-2.03688192726104,8.33333333333333,0.753623188405797,0.292842771728575
